"date","polling_firm","party","supp"
2024-05-24,"INSA","SPD",15
2024-05-24,"INSA","Union",30
2024-05-24,"INSA","Green",13
2024-05-24,"INSA","FDP",5
2024-05-24,"INSA","AfD",17
2024-05-24,"INSA","Linke",3
2024-05-24,"INSA","FW",3
2024-05-24,"INSA","BSW",7
2024-05-21,"INSA","SPD",16
2024-05-21,"INSA","Union",30
2024-05-21,"INSA","Green",12.5
2024-05-21,"INSA","FDP",5
2024-05-21,"INSA","AfD",17
2024-05-21,"INSA","Linke",3
2024-05-21,"INSA","FW",3
2024-05-21,"INSA","BSW",7
2024-05-19,"Wahlkreisprognose","SPD",16.5
2024-05-19,"Wahlkreisprognose","Union",31
2024-05-19,"Wahlkreisprognose","Green",13.5
2024-05-19,"Wahlkreisprognose","FDP",6
2024-05-19,"Wahlkreisprognose","AfD",15
2024-05-19,"Wahlkreisprognose","Linke",3
2024-05-19,"Wahlkreisprognose","FW",NA
2024-05-19,"Wahlkreisprognose","BSW",6
2024-05-17,"Forsa","SPD",16
2024-05-17,"Forsa","Union",32
2024-05-17,"Forsa","Green",14
2024-05-17,"Forsa","FDP",5
2024-05-17,"Forsa","AfD",15
2024-05-17,"Forsa","Linke",NA
2024-05-17,"Forsa","FW",NA
2024-05-17,"Forsa","BSW",5
2024-05-17,"INSA","SPD",16
2024-05-17,"INSA","Union",30
2024-05-17,"INSA","Green",12
2024-05-17,"INSA","FDP",5
2024-05-17,"INSA","AfD",17
2024-05-17,"INSA","Linke",3
2024-05-17,"INSA","FW",3
2024-05-17,"INSA","BSW",7
2024-05-16,"Forschungsgruppe Wahlen","SPD",15
2024-05-16,"Forschungsgruppe Wahlen","Union",31
2024-05-16,"Forschungsgruppe Wahlen","Green",13
2024-05-16,"Forschungsgruppe Wahlen","FDP",5
2024-05-16,"Forschungsgruppe Wahlen","AfD",16
2024-05-16,"Forschungsgruppe Wahlen","Linke",4
2024-05-16,"Forschungsgruppe Wahlen","FW",NA
2024-05-16,"Forschungsgruppe Wahlen","BSW",5
2024-05-16,"Allensbach","SPD",17.5
2024-05-16,"Allensbach","Union",32.5
2024-05-16,"Allensbach","Green",13
2024-05-16,"Allensbach","FDP",6
2024-05-16,"Allensbach","AfD",14
2024-05-16,"Allensbach","Linke",3
2024-05-16,"Allensbach","FW",NA
2024-05-16,"Allensbach","BSW",8
2024-05-14,"Verian","SPD",16
2024-05-14,"Verian","Union",30
2024-05-14,"Verian","Green",14
2024-05-14,"Verian","FDP",5
2024-05-14,"Verian","AfD",16
2024-05-14,"Verian","Linke",4
2024-05-14,"Verian","FW",3
2024-05-14,"Verian","BSW",5
2024-05-13,"INSA","SPD",15.5
2024-05-13,"INSA","Union",30.5
2024-05-13,"INSA","Green",13
2024-05-13,"INSA","FDP",5
2024-05-13,"INSA","AfD",17
2024-05-13,"INSA","Linke",3.5
2024-05-13,"INSA","FW",2.5
2024-05-13,"INSA","BSW",7
2024-05-13,"Forsa","SPD",16
2024-05-13,"Forsa","Union",32
2024-05-13,"Forsa","Green",13
2024-05-13,"Forsa","FDP",5
2024-05-13,"Forsa","AfD",15
2024-05-13,"Forsa","Linke",3
2024-05-13,"Forsa","FW",NA
2024-05-13,"Forsa","BSW",5
2024-05-10,"INSA","SPD",15
2024-05-10,"INSA","Union",30
2024-05-10,"INSA","Green",13
2024-05-10,"INSA","FDP",5
2024-05-10,"INSA","AfD",17
2024-05-10,"INSA","Linke",4
2024-05-10,"INSA","FW",2
2024-05-10,"INSA","BSW",7
2024-05-08,"YouGov","SPD",16
2024-05-08,"YouGov","Union",30
2024-05-08,"YouGov","Green",14
2024-05-08,"YouGov","FDP",4
2024-05-08,"YouGov","AfD",19
2024-05-08,"YouGov","Linke",4
2024-05-08,"YouGov","FW",1
2024-05-08,"YouGov","BSW",7
2024-05-06,"INSA","SPD",15.5
2024-05-06,"INSA","Union",30.5
2024-05-06,"INSA","Green",12
2024-05-06,"INSA","FDP",5
2024-05-06,"INSA","AfD",18
2024-05-06,"INSA","Linke",3.5
2024-05-06,"INSA","FW",2.5
2024-05-06,"INSA","BSW",7.5
2024-05-06,"Forsa","SPD",16
2024-05-06,"Forsa","Union",31
2024-05-06,"Forsa","Green",12
2024-05-06,"Forsa","FDP",6
2024-05-06,"Forsa","AfD",15
2024-05-06,"Forsa","Linke",3
2024-05-06,"Forsa","FW",NA
2024-05-06,"Forsa","BSW",4
2024-05-06,"GMS","SPD",15
2024-05-06,"GMS","Union",31
2024-05-06,"GMS","Green",14
2024-05-06,"GMS","FDP",4
2024-05-06,"GMS","AfD",18
2024-05-06,"GMS","Linke",2
2024-05-06,"GMS","FW",3
2024-05-06,"GMS","BSW",6
2024-05-05,"Ipsos","SPD",16
2024-05-05,"Ipsos","Union",28
2024-05-05,"Ipsos","Green",13
2024-05-05,"Ipsos","FDP",5
2024-05-05,"Ipsos","AfD",18
2024-05-05,"Ipsos","Linke",4
2024-05-05,"Ipsos","FW",3
2024-05-05,"Ipsos","BSW",7
2024-05-03,"INSA","SPD",15
2024-05-03,"INSA","Union",30
2024-05-03,"INSA","Green",12
2024-05-03,"INSA","FDP",5
2024-05-03,"INSA","AfD",18
2024-05-03,"INSA","Linke",4
2024-05-03,"INSA","FW",2
2024-05-03,"INSA","BSW",7
2024-04-30,"Infratest dimap","SPD",15
2024-04-30,"Infratest dimap","Union",31
2024-04-30,"Infratest dimap","Green",15
2024-04-30,"Infratest dimap","FDP",5
2024-04-30,"Infratest dimap","AfD",18
2024-04-30,"Infratest dimap","Linke",NA
2024-04-30,"Infratest dimap","FW",NA
2024-04-30,"Infratest dimap","BSW",5
2024-04-29,"INSA","SPD",16.5
2024-04-29,"INSA","Union",29.5
2024-04-29,"INSA","Green",12.5
2024-04-29,"INSA","FDP",5
2024-04-29,"INSA","AfD",18.5
2024-04-29,"INSA","Linke",3.5
2024-04-29,"INSA","FW",2.5
2024-04-29,"INSA","BSW",7
2024-04-29,"Forsa","SPD",17
2024-04-29,"Forsa","Union",30
2024-04-29,"Forsa","Green",12
2024-04-29,"Forsa","FDP",5
2024-04-29,"Forsa","AfD",16
2024-04-29,"Forsa","Linke",3
2024-04-29,"Forsa","FW",NA
2024-04-29,"Forsa","BSW",4
2024-04-26,"INSA","SPD",16
2024-04-26,"INSA","Union",29
2024-04-26,"INSA","Green",13
2024-04-26,"INSA","FDP",5
2024-04-26,"INSA","AfD",18
2024-04-26,"INSA","Linke",4
2024-04-26,"INSA","FW",2
2024-04-26,"INSA","BSW",7
2024-04-25,"Forschungsgruppe Wahlen","SPD",15
2024-04-25,"Forschungsgruppe Wahlen","Union",30
2024-04-25,"Forschungsgruppe Wahlen","Green",15
2024-04-25,"Forschungsgruppe Wahlen","FDP",4
2024-04-25,"Forschungsgruppe Wahlen","AfD",17
2024-04-25,"Forschungsgruppe Wahlen","Linke",4
2024-04-25,"Forschungsgruppe Wahlen","FW",NA
2024-04-25,"Forschungsgruppe Wahlen","BSW",5
2024-04-22,"INSA","SPD",15
2024-04-22,"INSA","Union",30.5
2024-04-22,"INSA","Green",12.5
2024-04-22,"INSA","FDP",5
2024-04-22,"INSA","AfD",18.5
2024-04-22,"INSA","Linke",4
2024-04-22,"INSA","FW",2.5
2024-04-22,"INSA","BSW",7
2024-04-22,"Forsa","SPD",16
2024-04-22,"Forsa","Union",31
2024-04-22,"Forsa","Green",12
2024-04-22,"Forsa","FDP",5
2024-04-22,"Forsa","AfD",16
2024-04-22,"Forsa","Linke",NA
2024-04-22,"Forsa","FW",NA
2024-04-22,"Forsa","BSW",5
2024-04-19,"INSA","SPD",15
2024-04-19,"INSA","Union",30
2024-04-19,"INSA","Green",13
2024-04-19,"INSA","FDP",5
2024-04-19,"INSA","AfD",18
2024-04-19,"INSA","Linke",4
2024-04-19,"INSA","FW",2
2024-04-19,"INSA","BSW",7
2024-04-18,"Allensbach","SPD",16
2024-04-18,"Allensbach","Union",32.5
2024-04-18,"Allensbach","Green",15
2024-04-18,"Allensbach","FDP",6
2024-04-18,"Allensbach","AfD",16
2024-04-18,"Allensbach","Linke",3
2024-04-18,"Allensbach","FW",NA
2024-04-18,"Allensbach","BSW",7
2024-04-16,"Verian","SPD",16
2024-04-16,"Verian","Union",30
2024-04-16,"Verian","Green",14
2024-04-16,"Verian","FDP",5
2024-04-16,"Verian","AfD",18
2024-04-16,"Verian","Linke",3
2024-04-16,"Verian","FW",3
2024-04-16,"Verian","BSW",5
2024-04-15,"INSA","SPD",16
2024-04-15,"INSA","Union",29.5
2024-04-15,"INSA","Green",13
2024-04-15,"INSA","FDP",6
2024-04-15,"INSA","AfD",18.5
2024-04-15,"INSA","Linke",3
2024-04-15,"INSA","FW",2.5
2024-04-15,"INSA","BSW",6.5
2024-04-15,"Forsa","SPD",16
2024-04-15,"Forsa","Union",31
2024-04-15,"Forsa","Green",12
2024-04-15,"Forsa","FDP",5
2024-04-15,"Forsa","AfD",17
2024-04-15,"Forsa","Linke",NA
2024-04-15,"Forsa","FW",NA
2024-04-15,"Forsa","BSW",5
2024-04-12,"INSA","SPD",16
2024-04-12,"INSA","Union",30
2024-04-12,"INSA","Green",13
2024-04-12,"INSA","FDP",5
2024-04-12,"INSA","AfD",18
2024-04-12,"INSA","Linke",3
2024-04-12,"INSA","FW",2
2024-04-12,"INSA","BSW",6
2024-04-11,"Forschungsgruppe Wahlen","SPD",16
2024-04-11,"Forschungsgruppe Wahlen","Union",31
2024-04-11,"Forschungsgruppe Wahlen","Green",12
2024-04-11,"Forschungsgruppe Wahlen","FDP",4
2024-04-11,"Forschungsgruppe Wahlen","AfD",18
2024-04-11,"Forschungsgruppe Wahlen","Linke",3
2024-04-11,"Forschungsgruppe Wahlen","FW",NA
2024-04-11,"Forschungsgruppe Wahlen","BSW",6
2024-04-10,"YouGov","SPD",14
2024-04-10,"YouGov","Union",29
2024-04-10,"YouGov","Green",15
2024-04-10,"YouGov","FDP",5
2024-04-10,"YouGov","AfD",19
